frequency,raw
20.65,58.13
21.63,58.59
22.72,59.00
23.88,59.38
25.09,59.74
26.36,60.07
27.69,60.38
29.09,60.69
30.57,60.99
32.12,61.29
33.74,61.58
35.45,61.84
37.25,62.08
39.14,62.30
41.12,62.47
43.20,62.63
45.39,62.77
47.69,62.92
50.10,63.08
52.64,63.25
55.31,63.39
58.11,63.52
61.06,63.62
64.15,63.70
67.40,63.77
70.81,63.82
74.40,63.87
78.17,63.87
82.13,63.89
86.29,63.92
90.66,63.97
95.25,63.95
100.08,63.90
105.15,63.87
110.47,63.87
116.07,63.79
121.95,63.73
128.13,63.66
134.62,63.58
141.44,63.48
148.60,63.38
156.13,63.27
164.04,63.15
172.35,63.02
181.08,62.89
190.26,62.75
199.89,62.62
210.02,62.46
220.66,62.30
231.84,62.13
243.58,61.96
255.92,61.79
268.89,61.61
282.51,61.44
296.82,61.26
311.86,61.08
327.65,60.90
344.25,60.72
361.69,60.55
380.01,60.38
399.26,60.21
419.49,60.04
440.74,59.88
463.07,59.72
486.53,59.58
511.17,59.44
537.07,59.31
564.28,59.17
592.86,59.04
622.89,58.90
654.45,58.79
687.60,58.68
722.43,58.59
759.03,58.51
797.48,58.48
837.88,58.48
880.33,58.49
924.92,58.61
971.78,58.82
1021.01,59.14
1072.73,59.62
1127.07,60.22
1184.17,60.90
1244.16,61.56
1307.18,62.15
1373.40,62.66
1442.98,63.10
1516.08,63.44
1592.88,63.77
1673.57,64.19
1758.35,64.65
1847.42,65.14
1941.01,65.71
2039.34,66.36
2142.65,67.05
2251.19,67.85
2365.23,68.76
2479.48,69.72
2593.41,70.72
2718.67,71.68
2856.39,72.51
3001.09,72.97
3153.12,72.93
3312.85,72.44
3480.68,71.63
3657.00,70.75
3842.26,69.92
4036.90,69.17
4241.40,68.59
4456.27,68.14
4682.01,67.81
4919.19,67.51
5168.39,67.29
5430.21,67.13
5705.30,66.93
5994.32,66.66
6297.98,66.33
6617.03,66.05
6952.23,65.79
7304.42,65.63
7674.45,65.82
8063.22,66.13
8414.80,65.66
8664.14,64.58
8837.10,63.41
8961.04,62.39
9103.05,61.31
9226.56,60.34
9351.75,59.34
9478.64,58.38
9613.42,57.33
9796.12,56.11
9978.01,54.94
10175.90,53.81
10416.41,52.62
10701.00,51.51
11142.53,50.42
11706.99,50.28
12190.03,51.25
12551.23,52.36
12865.22,53.42
13216.71,54.45
13608.34,55.38
13948.77,56.34
14297.72,57.47
14533.63,58.66
14809.82,59.91
15055.79,61.17
15606.73,62.06
16177.83,61.25
16397.34,60.05
16582.54,58.82
16732.20,57.82
16921.19,56.69
17150.78,55.43
17416.99,54.27
18100.74,53.45
18679.00,54.17
19215.37,54.87
19682.38,53.73
