frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20,4.55,-5.20,4.58,-5.17,5.17,1.97,9.72,9.75,9.75
21,4.67,-5.10,4.67,-5.10,5.10,2.28,9.77,9.77,9.77
22,4.78,-5.01,4.76,-5.03,5.03,2.63,9.81,9.79,9.79
23,4.85,-4.95,4.84,-4.96,4.96,3.01,9.81,9.80,9.80
24,4.91,-4.90,4.92,-4.89,4.89,3.41,9.80,9.81,9.81
25,4.99,-4.83,5.00,-4.82,4.82,3.83,9.80,9.82,9.82
26,5.07,-4.75,5.07,-4.75,4.75,4.24,9.82,9.82,9.82
27,5.16,-4.66,5.14,-4.68,4.68,4.64,9.83,9.82,9.82
28,5.23,-4.58,5.20,-4.61,4.61,4.99,9.84,9.81,9.81
29,5.29,-4.51,5.26,-4.54,4.54,5.26,9.82,9.80,9.80
30,5.33,-4.45,5.32,-4.47,4.47,5.44,9.79,9.78,9.78
31,5.37,-4.40,5.36,-4.40,4.40,5.51,9.76,9.76,9.76
32,5.40,-4.34,5.41,-4.33,4.33,5.48,9.73,9.74,9.74
33,5.43,-4.28,5.45,-4.26,4.26,5.36,9.70,9.71,9.71
34,5.47,-4.21,5.48,-4.19,4.19,5.17,9.66,9.68,9.68
35,5.50,-4.14,5.51,-4.13,4.13,4.94,9.63,9.64,9.64
36,5.54,-4.06,5.54,-4.05,4.05,4.68,9.59,9.59,9.60
37,5.57,-3.98,5.56,-3.98,3.98,4.42,9.56,9.55,9.55
38,5.60,-3.90,5.59,-3.91,3.91,4.16,9.51,9.49,9.50
39,5.62,-3.83,5.61,-3.83,3.83,3.92,9.45,9.44,9.45
40,5.63,-3.76,5.63,-3.75,3.75,3.70,9.38,9.38,9.39
41,5.64,-3.68,5.65,-3.66,3.66,3.49,9.30,9.31,9.32
42,5.66,-3.59,5.67,-3.57,3.57,3.30,9.23,9.25,9.25
43,5.68,-3.50,5.69,-3.49,3.49,3.14,9.16,9.17,9.18
44,5.70,-3.40,5.70,-3.39,3.39,2.99,9.09,9.10,9.10
45,5.72,-3.30,5.72,-3.30,3.30,2.86,9.02,9.02,9.02
46,5.74,-3.20,5.73,-3.21,3.21,2.75,8.95,8.94,8.94
47,5.75,-3.10,5.74,-3.11,3.11,2.65,8.87,8.86,8.85
48,5.75,-3.01,5.75,-3.02,3.02,2.56,8.77,8.77,8.77
49,5.75,-2.93,5.76,-2.93,2.93,2.49,8.68,8.69,8.68
50,5.77,-2.83,5.77,-2.83,2.83,2.43,8.60,8.61,8.60
51,5.78,-2.74,5.78,-2.74,2.74,2.37,8.52,8.52,8.52
52,5.80,-2.64,5.79,-2.65,2.65,2.32,8.44,8.44,8.44
53,5.80,-2.55,5.80,-2.55,2.55,2.28,8.36,8.35,8.36
54,5.80,-2.46,5.80,-2.46,2.46,2.24,8.27,8.26,8.27
55,5.80,-2.38,5.80,-2.37,2.37,2.20,8.18,8.17,8.18
56,5.80,-2.29,5.80,-2.28,2.28,2.16,8.09,8.09,8.09
57,5.80,-2.20,5.81,-2.19,2.19,2.12,8.00,8.00,8.00
58,5.80,-2.11,5.81,-2.10,2.10,2.08,7.91,7.91,7.91
59,5.80,-2.02,5.81,-2.02,2.02,2.04,7.82,7.82,7.82
60,5.80,-1.93,5.81,-1.93,1.93,1.99,7.73,7.74,7.73
61,5.80,-1.84,5.81,-1.84,1.84,1.94,7.65,7.65,7.64
62,5.80,-1.75,5.80,-1.76,1.76,1.88,7.56,7.56,7.56
63,5.80,-1.67,5.80,-1.67,1.67,1.82,7.48,7.48,7.47
64,5.80,-1.58,5.80,-1.59,1.59,1.76,7.39,7.39,7.39
65,5.80,-1.50,5.80,-1.50,1.50,1.69,7.31,7.31,7.31
66,5.80,-1.42,5.80,-1.42,1.42,1.61,7.22,7.22,7.23
67,5.80,-1.34,5.80,-1.34,1.34,1.54,7.14,7.14,7.14
68,5.80,-1.26,5.81,-1.25,1.25,1.46,7.06,7.06,7.06
69,5.80,-1.18,5.81,-1.17,1.17,1.38,6.98,6.98,6.98
70,5.80,-1.10,5.81,-1.09,1.09,1.30,6.89,6.90,6.90
71,5.80,-1.01,5.81,-1.01,1.01,1.22,6.81,6.81,6.82
72,5.80,-0.93,5.81,-0.92,0.92,1.13,6.73,6.73,6.74
73,5.80,-0.85,5.80,-0.84,0.84,1.05,6.65,6.65,6.65
74,5.80,-0.77,5.80,-0.76,0.76,0.97,6.57,6.57,6.57
75,5.80,-0.68,5.80,-0.68,0.68,0.88,6.49,6.48,6.49
76,5.80,-0.60,5.80,-0.61,0.61,0.80,6.41,6.40,6.40
