frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20,14.53,1.53,14.66,1.62,-1.62,0.26,12.91,13.04,12.99
21,14.51,1.40,14.49,1.35,-1.35,0.29,13.16,13.15,13.11
22,14.42,1.16,14.33,1.09,-1.09,0.32,13.33,13.25,13.25
23,14.27,0.91,14.18,0.84,-0.84,0.35,13.43,13.34,13.36
24,14.08,0.61,14.02,0.60,-0.60,0.39,13.48,13.42,13.47
25,13.88,0.35,13.86,0.37,-0.37,0.43,13.50,13.49,13.53
26,13.69,0.09,13.71,0.16,-0.16,0.47,13.53,13.55,13.59
27,13.53,-0.11,13.56,-0.05,0.05,0.51,13.58,13.61,13.64
28,13.37,-0.33,13.41,-0.24,0.24,0.55,13.61,13.65,13.69
29,13.21,-0.50,13.26,-0.43,0.43,0.59,13.64,13.68,13.70
30,13.07,-0.65,13.11,-0.60,0.60,0.64,13.67,13.71,13.72
31,12.93,-0.82,12.95,-0.75,0.75,0.68,13.68,13.71,13.75
32,12.81,-0.93,12.81,-0.90,0.90,0.72,13.71,13.71,13.74
33,12.66,-1.05,12.67,-1.03,1.03,0.76,13.69,13.70,13.70
34,12.55,-1.15,12.53,-1.16,1.16,0.80,13.71,13.69,13.69
35,12.41,-1.26,12.39,-1.28,1.28,0.85,13.69,13.67,13.67
36,12.29,-1.36,12.25,-1.39,1.39,0.90,13.68,13.64,13.64
37,12.15,-1.44,12.11,-1.50,1.50,0.95,13.65,13.60,13.59
38,12.00,-1.57,11.96,-1.60,1.60,1.01,13.60,13.56,13.57
39,11.82,-1.68,11.81,-1.70,1.70,1.07,13.51,13.50,13.49
40,11.66,-1.81,11.65,-1.79,1.79,1.14,13.45,13.44,13.46
41,11.49,-1.89,11.49,-1.88,1.88,1.21,13.37,13.37,13.38
42,11.32,-1.99,11.34,-1.96,1.96,1.29,13.28,13.30,13.31
43,11.17,-2.09,11.19,-2.04,2.04,1.38,13.21,13.23,13.26
44,11.04,-2.14,11.04,-2.11,2.11,1.47,13.14,13.15,13.18
45,10.89,-2.20,10.90,-2.17,2.17,1.56,13.06,13.07,13.09
46,10.75,-2.24,10.76,-2.22,2.22,1.66,12.97,12.98,12.99
47,10.61,-2.30,10.64,-2.26,2.26,1.77,12.87,12.90,12.91
48,10.48,-2.33,10.52,-2.30,2.30,1.87,12.77,12.82,12.81
49,10.38,-2.35,10.41,-2.33,2.33,1.98,12.70,12.73,12.73
50,10.30,-2.35,10.29,-2.35,2.35,2.09,12.65,12.65,12.64
51,10.21,-2.35,10.18,-2.38,2.38,2.20,12.58,12.56,12.55
52,10.10,-2.37,10.07,-2.40,2.40,2.31,12.50,12.47,12.47
53,9.99,-2.41,9.96,-2.42,2.42,2.42,12.41,12.38,12.40
54,9.88,-2.41,9.85,-2.44,2.44,2.52,12.32,12.29,12.29
55,9.77,-2.44,9.74,-2.46,2.46,2.62,12.23,12.20,12.21
56,9.65,-2.46,9.63,-2.48,2.48,2.71,12.13,12.11,12.11
57,9.51,-2.51,9.51,-2.51,2.51,2.79,12.01,12.02,12.02
58,9.38,-2.55,9.39,-2.53,2.53,2.86,11.91,11.92,11.93
59,9.25,-2.59,9.27,-2.55,2.55,2.92,11.80,11.83,11.84
60,9.14,-2.61,9.15,-2.58,2.58,2.97,11.72,11.73,11.75
61,9.03,-2.62,9.04,-2.61,2.61,3.01,11.63,11.64,11.65
62,8.93,-2.63,8.93,-2.63,2.63,3.03,11.56,11.55,11.56
63,8.82,-2.65,8.81,-2.65,2.65,3.04,11.47,11.47,11.47
64,8.71,-2.66,8.71,-2.67,2.67,3.04,11.38,11.38,11.37
65,8.60,-2.68,8.60,-2.69,2.69,3.04,11.29,11.29,11.28
66,8.50,-2.71,8.50,-2.70,2.70,3.02,11.20,11.21,11.21
67,8.40,-2.72,8.41,-2.72,2.72,3.00,11.12,11.13,11.12
68,8.33,-2.71,8.31,-2.73,2.73,2.97,11.06,11.04,11.04
69,8.22,-2.76,8.22,-2.74,2.74,2.93,10.96,10.96,10.98
70,8.13,-2.76,8.13,-2.75,2.75,2.89,10.88,10.88,10.89
71,8.05,-2.76,8.04,-2.75,2.75,2.85,10.80,10.79,10.80
72,7.94,-2.78,7.95,-2.75,2.75,2.81,10.69,10.71,10.72
73,7.86,-2.77,7.87,-2.75,2.75,2.77,10.61,10.62,10.63
74,7.78,-2.79,7.78,-2.75,2.75,2.73,10.53,10.53,10.57
75,7.72,-2.74,7.70,-2.75,2.75,2.69,10.47,10.45,10.46
76,7.63,-2.75,7.62,-2.74,2.74,2.65,10.37,10.36,10.38
77,7.54,-2.73,7.53,-2.74,2.74,2.61,10.28,10.27,10.26
78,7.46,-2.72,7.45,-2.73,2.73,2.58,10.19,10.19,10.18
79,7.37,-2.71,7.37,-2.73,2.73,2.55,10.10,10.10,10.08
80,7.28,-2.73,7.29,-2.73,2.73,2.52,10.00,10.02,10.01
81,7.21,-2.70,7.21,-2.72,2.72,2.50,9.93,9.93,9.90
82,7.12,-2.74,7.13,-2.72,2.72,2.47,9.84,9.85,9.85
83,7.05,-2.72,7.04,-2.72,2.72,2.46,9.77,9.77,9.77
84,6.98,-2.71,6.96,-2.73,2.73,2.44,9.70,9.69,9.69
85,6.90,-2.73,6.88,-2.73,2.73,2.43,9.63,9.61,9.62
86,6.81,-2.74,6.80,-2.73,2.73,2.42,9.54,9.53,9.55
87,6.73,-2.73,6.73,-2.73,2.73,2.42,9.46,9.45,9.46
88,6.64,-2.74,6.65,-2.73,2.73,2.41,9.36,9.38,9.37
89,6.56,-2.76,6.57,-2.72,2.72,2.42,9.28,9.30,9.32
90,6.48,-2.75,6.50,-2.72,2.72,2.42,9.19,9.22,9.22
