frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20,-1.19,-11.07,-1.03,-10.86,6.00,2.83,4.81,4.97,9.88
21,-0.71,-10.61,-0.67,-10.53,6.00,3.26,5.29,5.33,9.90
22,-0.27,-10.19,-0.32,-10.20,6.00,3.73,5.73,5.68,9.92
23,0.09,-9.84,0.01,-9.89,6.00,4.24,6.09,6.01,9.93
24,0.41,-9.53,0.33,-9.59,6.00,4.79,6.41,6.33,9.94
25,0.71,-9.24,0.63,-9.30,6.00,5.37,6.71,6.63,9.94
26,0.97,-8.97,0.91,-9.02,6.00,5.94,6.97,6.91,9.95
27,1.22,-8.73,1.18,-8.75,6.00,6.49,7.22,7.18,9.94
28,1.44,-8.49,1.44,-8.49,6.00,6.98,7.44,7.44,9.94
29,1.67,-8.26,1.68,-8.24,6.00,7.36,7.67,7.68,9.92
30,1.87,-8.04,1.91,-8.00,6.00,7.61,7.87,7.91,9.91
31,2.07,-7.82,2.10,-7.78,6.00,7.71,8.07,8.10,9.89
32,2.26,-7.60,2.28,-7.58,6.00,7.67,8.26,8.28,9.86
33,2.44,-7.39,2.45,-7.38,6.00,7.50,8.44,8.45,9.84
34,2.62,-7.19,2.61,-7.19,6.00,7.24,8.62,8.61,9.81
35,2.77,-7.00,2.76,-7.00,6.00,6.92,8.77,8.76,9.77
36,2.91,-6.82,2.90,-6.82,6.00,6.59,8.91,8.90,9.73
37,3.04,-6.64,3.03,-6.64,6.00,6.25,9.04,9.03,9.68
38,3.16,-6.47,3.15,-6.47,6.00,5.92,9.16,9.15,9.63
39,3.28,-6.30,3.26,-6.31,5.98,5.61,9.26,9.24,9.58
40,3.37,-6.15,3.36,-6.15,5.93,5.34,9.30,9.29,9.52
41,3.45,-6.00,3.45,-5.99,5.87,5.08,9.32,9.32,9.45
42,3.53,-5.85,3.53,-5.84,5.78,4.86,9.31,9.31,9.38
43,3.61,-5.69,3.61,-5.69,5.67,4.67,9.28,9.28,9.30
44,3.68,-5.55,3.68,-5.54,5.54,4.50,9.21,9.22,9.23
45,3.74,-5.41,3.75,-5.39,5.39,4.36,9.13,9.14,9.15
46,3.81,-5.26,3.82,-5.24,5.24,4.23,9.05,9.06,9.06
47,3.87,-5.11,3.89,-5.09,5.09,4.13,8.96,8.98,8.98
48,3.94,-4.96,3.95,-4.95,4.95,4.05,8.88,8.90,8.89
49,4.00,-4.81,4.01,-4.80,4.80,3.98,8.80,8.81,8.81
50,4.07,-4.66,4.08,-4.65,4.65,3.93,8.72,8.73,8.73
51,4.14,-4.51,4.14,-4.51,4.51,3.88,8.64,8.64,8.65
52,4.20,-4.36,4.20,-4.36,4.36,3.85,8.57,8.56,8.56
53,4.26,-4.22,4.26,-4.22,4.22,3.82,8.48,8.47,8.48
54,4.32,-4.08,4.31,-4.08,4.08,3.79,8.39,8.39,8.39
55,4.37,-3.94,4.37,-3.94,3.94,3.77,8.31,8.30,8.31
56,4.42,-3.80,4.42,-3.80,3.80,3.74,8.22,8.22,8.22
57,4.46,-3.67,4.46,-3.67,3.67,3.71,8.13,8.13,8.13
58,4.51,-3.53,4.50,-3.53,3.53,3.68,8.04,8.04,8.04
59,4.55,-3.40,4.54,-3.41,3.41,3.64,7.95,7.95,7.95
60,4.58,-3.28,4.58,-3.28,3.28,3.59,7.86,7.86,7.86
61,4.61,-3.16,4.61,-3.16,3.16,3.53,7.78,7.77,7.77
62,4.64,-3.04,4.64,-3.05,3.05,3.46,7.69,7.69,7.68
63,4.67,-2.93,4.67,-2.93,2.93,3.39,7.60,7.60,7.60
64,4.69,-2.82,4.69,-2.82,2.82,3.30,7.51,7.52,7.51
