frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20,8.16,-11.46,8.20,-11.53,6.00,2.83,14.16,14.20,19.62
21,8.32,-11.31,8.34,-11.26,6.00,3.26,14.32,14.34,19.63
22,8.48,-11.09,8.48,-10.99,6.00,3.74,14.48,14.48,19.56
23,8.64,-10.80,8.62,-10.72,6.00,4.25,14.64,14.62,19.44
24,8.78,-10.49,8.74,-10.46,6.00,4.80,14.78,14.74,19.27
25,8.90,-10.19,8.86,-10.20,6.00,5.38,14.90,14.86,19.08
26,9.01,-9.91,8.97,-9.95,6.00,5.96,15.01,14.97,18.91
27,9.10,-9.66,9.08,-9.71,6.00,6.51,15.10,15.08,18.76
28,9.18,-9.44,9.17,-9.47,6.00,7.00,15.18,15.17,18.61
29,9.27,-9.19,9.26,-9.23,6.00,7.38,15.27,15.26,18.45
30,9.35,-8.97,9.35,-9.00,6.00,7.64,15.35,15.35,18.32
31,9.40,-8.78,9.41,-8.79,6.00,7.74,15.40,15.41,18.18
32,9.49,-8.57,9.47,-8.58,6.00,7.69,15.49,15.47,18.05
33,9.53,-8.37,9.53,-8.37,6.00,7.53,15.53,15.53,17.89
34,9.57,-8.21,9.58,-8.16,6.00,7.27,15.57,15.58,17.77
35,9.62,-8.01,9.62,-7.96,6.00,6.96,15.62,15.62,17.63
36,9.66,-7.83,9.67,-7.76,6.00,6.62,15.66,15.67,17.48
37,9.70,-7.63,9.70,-7.56,6.00,6.29,15.70,15.70,17.33
38,9.75,-7.40,9.74,-7.35,6.00,5.96,15.75,15.74,17.15
39,9.79,-7.16,9.77,-7.14,6.00,5.66,15.79,15.77,16.94
40,9.79,-6.97,9.80,-6.93,6.00,5.39,15.79,15.80,16.75
41,9.83,-6.72,9.82,-6.72,6.00,5.14,15.83,15.82,16.55
42,9.83,-6.51,9.85,-6.51,6.00,4.92,15.83,15.85,16.34
43,9.88,-6.28,9.87,-6.30,5.97,4.73,15.84,15.83,16.15
44,9.88,-6.10,9.88,-6.10,5.89,4.57,15.77,15.78,15.98
45,9.90,-5.89,9.89,-5.90,5.79,4.43,15.68,15.68,15.79
46,9.92,-5.68,9.90,-5.71,5.66,4.31,15.58,15.56,15.59
47,9.92,-5.49,9.91,-5.53,5.52,4.21,15.43,15.43,15.41
48,9.92,-5.31,9.92,-5.36,5.36,4.14,15.27,15.28,15.23
49,9.92,-5.17,9.92,-5.19,5.19,4.07,15.11,15.11,15.09
50,9.92,-5.05,9.92,-5.03,5.03,4.02,14.95,14.95,14.96
51,9.92,-4.92,9.92,-4.87,4.87,3.99,14.79,14.80,14.83
52,9.92,-4.77,9.92,-4.72,4.72,3.96,14.64,14.64,14.68
53,9.92,-4.62,9.92,-4.57,4.57,3.93,14.49,14.49,14.54
54,9.92,-4.47,9.92,-4.42,4.42,3.91,14.34,14.34,14.38
55,9.92,-4.32,9.91,-4.27,4.27,3.89,14.19,14.18,14.24
56,9.92,-4.15,9.90,-4.12,4.12,3.87,14.04,14.03,14.07
57,9.91,-3.98,9.90,-3.98,3.98,3.85,13.88,13.88,13.89
58,9.88,-3.84,9.89,-3.83,3.83,3.82,13.71,13.72,13.72
59,9.88,-3.67,9.88,-3.68,3.68,3.79,13.56,13.57,13.55
60,9.88,-3.52,9.87,-3.54,3.54,3.74,13.42,13.41,13.40
61,9.87,-3.38,9.86,-3.41,3.41,3.69,13.27,13.26,13.25
62,9.83,-3.28,9.84,-3.27,3.27,3.63,13.10,13.11,13.11
63,9.83,-3.14,9.83,-3.14,3.14,3.56,12.97,12.97,12.97
64,9.81,-3.02,9.81,-3.02,3.02,3.49,12.83,12.83,12.82
65,9.79,-2.89,9.79,-2.90,2.90,3.40,12.69,12.69,12.68
66,9.79,-2.76,9.77,-2.79,2.79,3.31,12.57,12.56,12.55
67,9.75,-2.68,9.75,-2.68,2.68,3.21,12.43,12.43,12.43
68,9.75,-2.58,9.73,-2.57,2.57,3.11,12.32,12.31,12.33
69,9.70,-2.49,9.71,-2.47,2.47,3.00,12.17,12.19,12.19
70,9.70,-2.38,9.69,-2.38,2.38,2.90,12.07,12.07,12.08
71,9.66,-2.31,9.67,-2.28,2.28,2.79,11.94,11.95,11.96
72,9.66,-2.17,9.65,-2.19,2.19,2.68,11.84,11.84,11.83
73,9.62,-2.10,9.63,-2.10,2.10,2.57,11.71,11.72,11.72
74,9.62,-1.99,9.60,-2.01,2.01,2.46,11.62,11.61,11.61
75,9.57,-1.96,9.58,-1.92,1.92,2.35,11.49,11.50,11.52
76,9.57,-1.83,9.55,-1.83,1.83,2.24,11.40,11.39,11.40
77,9.53,-1.76,9.53,-1.75,1.75,2.14,11.28,11.28,11.28
78,9.50,-1.68,9.50,-1.67,1.67,2.03,11.16,11.17,11.17
