frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20,14.53,16.68,14.66,16.66,-16.66,-5.82,-2.13,-2.01,-2.16
21,14.51,16.18,14.49,16.14,-16.14,-6.56,-1.63,-1.65,-1.67
22,14.42,15.65,14.33,15.64,-15.64,-7.37,-1.22,-1.30,-1.24
23,14.27,15.14,14.18,15.15,-15.15,-8.26,-0.88,-0.97,-0.87
24,14.08,14.63,14.02,14.68,-14.68,-9.21,-0.60,-0.66,-0.55
25,13.88,14.14,13.86,14.22,-14.22,-10.24,-0.34,-0.36,-0.26
26,13.69,13.67,13.71,13.78,-13.78,-11.32,-0.09,-0.07,0.01
27,13.53,13.28,13.56,13.36,-13.36,-12.44,0.17,0.20,0.25
28,13.37,12.88,13.41,12.95,-12.95,-13.52,0.42,0.45,0.48
29,13.21,12.50,13.26,12.56,-12.56,-14.48,0.65,0.70,0.70
30,13.07,12.16,13.11,12.19,-12.19,-15.17,0.88,0.92,0.91
31,12.93,11.82,12.95,11.84,-11.84,-15.47,1.09,1.11,1.11
32,12.81,11.50,12.81,11.51,-11.51,-15.33,1.30,1.30,1.30
33,12.66,11.17,12.67,11.19,-11.19,-14.85,1.47,1.48,1.48
34,12.55,10.89,12.53,10.88,-10.88,-14.15,1.66,1.65,1.65
35,12.41,10.60,12.39,10.59,-10.59,-13.38,1.82,1.80,1.81
36,12.29,10.34,12.25,10.31,-10.31,-12.60,1.98,1.94,1.94
37,12.15,10.07,12.11,10.03,-10.03,-11.86,2.12,2.07,2.08
38,12.00,9.80,11.96,9.77,-9.77,-11.18,2.23,2.19,2.20
39,11.82,9.50,11.81,9.51,-9.51,-10.56,2.31,2.30,2.31
40,11.66,9.25,11.65,9.26,-9.26,-10.00,2.40,2.39,2.40
41,11.49,9.00,11.49,9.01,-9.01,-9.50,2.47,2.48,2.49
42,11.32,8.75,11.34,8.78,-8.78,-9.05,2.54,2.56,2.57
43,11.17,8.52,11.19,8.55,-8.55,-8.65,2.62,2.64,2.65
44,11.04,8.32,11.04,8.33,-8.33,-8.30,2.71,2.71,2.72
45,10.89,8.11,10.90,8.12,-8.12,-7.99,2.77,2.78,2.78
46,10.75,7.91,10.76,7.92,-7.92,-7.71,2.83,2.85,2.84
47,10.61,7.70,10.64,7.73,-7.73,-7.46,2.88,2.91,2.91
48,10.48,7.51,10.52,7.54,-7.54,-7.25,2.94,2.98,2.97
49,10.38,7.34,10.41,7.36,-7.36,-7.05,3.02,3.05,3.04
50,10.30,7.19,10.29,7.18,-7.18,-6.88,3.11,3.11,3.10
51,10.21,7.03,10.18,7.01,-7.01,-6.73,3.20,3.17,3.17
52,10.10,6.86,10.07,6.84,-6.84,-6.59,3.26,3.23,3.24
53,9.99,6.69,9.96,6.67,-6.67,-6.46,3.32,3.29,3.30
54,9.88,6.52,9.85,6.50,-6.50,-6.35,3.37,3.34,3.35
55,9.77,6.36,9.74,6.34,-6.34,-6.24,3.43,3.40,3.41
56,9.65,6.19,9.63,6.18,-6.18,-6.13,3.47,3.45,3.46
57,9.51,6.01,9.51,6.01,-6.01,-6.03,3.49,3.50,3.50
58,9.38,5.83,9.39,5.86,-5.86,-5.93,3.52,3.54,3.55
59,9.25,5.66,9.27,5.70,-5.70,-5.82,3.55,3.57,3.59
60,9.14,5.52,9.15,5.55,-5.55,-5.72,3.59,3.61,3.62
61,9.03,5.38,9.04,5.40,-5.40,-5.60,3.63,3.64,3.65
62,8.93,5.25,8.93,5.25,-5.25,-5.49,3.68,3.67,3.68
63,8.82,5.11,8.81,5.11,-5.11,-5.37,3.70,3.70,3.71
64,8.71,4.98,8.71,4.98,-4.98,-5.24,3.73,3.73,3.73
65,8.60,4.85,8.60,4.85,-4.85,-5.11,3.74,3.75,3.75
66,8.50,4.73,8.50,4.73,-4.73,-4.98,3.77,3.77,3.77
