frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20,14.53,11.78,14.66,11.88,-11.88,-3.81,2.65,2.78,2.74
21,14.51,11.52,14.49,11.46,-11.46,-4.36,3.04,3.03,2.99
22,14.42,11.14,14.33,11.06,-11.06,-4.98,3.35,3.27,3.27
23,14.27,10.74,14.18,10.68,-10.68,-5.64,3.59,3.50,3.53
24,14.08,10.32,14.02,10.30,-10.30,-6.36,3.78,3.72,3.76
25,13.88,9.91,13.86,9.94,-9.94,-7.12,3.94,3.92,3.97
26,13.69,9.52,13.71,9.59,-9.59,-7.90,4.09,4.12,4.16
27,13.53,9.20,13.56,9.26,-9.26,-8.66,4.27,4.30,4.33
28,13.37,8.87,13.41,8.94,-8.94,-9.37,4.43,4.47,4.49
29,13.21,8.56,13.26,8.63,-8.63,-9.94,4.58,4.62,4.64
30,13.07,8.28,13.11,8.34,-8.34,-10.32,4.73,4.77,4.79
31,12.93,8.02,12.95,8.06,-8.06,-10.47,4.87,4.89,4.91
32,12.81,7.78,12.81,7.80,-7.80,-10.39,5.01,5.01,5.02
33,12.66,7.52,12.67,7.55,-7.55,-10.11,5.11,5.12,5.13
34,12.55,7.31,12.53,7.31,-7.31,-9.69,5.24,5.22,5.23
35,12.41,7.09,12.39,7.08,-7.08,-9.20,5.33,5.31,5.32
36,12.29,6.90,12.25,6.86,-6.86,-8.68,5.43,5.39,5.38
37,12.15,6.70,12.11,6.65,-6.65,-8.17,5.50,5.46,5.45
38,12.00,6.48,11.96,6.44,-6.44,-7.68,5.55,5.51,5.52
39,11.82,6.25,11.81,6.25,-6.25,-7.23,5.57,5.56,5.56
40,11.66,6.05,11.65,6.06,-6.06,-6.81,5.60,5.60,5.60
41,11.49,5.85,11.49,5.87,-5.87,-6.43,5.62,5.62,5.64
42,11.32,5.67,11.34,5.69,-5.69,-6.09,5.63,5.65,5.65
43,11.17,5.49,11.19,5.52,-5.52,-5.79,5.65,5.67,5.68
44,11.04,5.35,11.04,5.36,-5.36,-5.52,5.68,5.68,5.69
45,10.89,5.19,10.90,5.21,-5.21,-5.28,5.68,5.69,5.70
46,10.75,5.02,10.76,5.07,-5.07,-5.06,5.68,5.70,5.73
47,10.61,4.89,10.64,4.94,-4.94,-4.88,5.67,5.70,5.72
48,10.48,4.77,10.52,4.81,-4.81,-4.71,5.67,5.71,5.71
49,10.38,4.66,10.41,4.69,-4.69,-4.56,5.68,5.71,5.72
50,10.30,4.58,10.29,4.58,-4.58,-4.43,5.71,5.71,5.71
51,10.21,4.49,10.18,4.48,-4.48,-4.32,5.73,5.71,5.71
52,10.10,4.40,10.07,4.37,-4.37,-4.22,5.73,5.70,5.70
53,9.99,4.30,9.96,4.27,-4.27,-4.12,5.72,5.69,5.69
54,9.88,4.18,9.85,4.16,-4.16,-4.04,5.72,5.69,5.69
55,9.77,4.08,9.74,4.06,-4.06,-3.96,5.71,5.68,5.69
56,9.65,3.95,9.63,3.96,-3.96,-3.88,5.69,5.67,5.70
57,9.51,3.86,9.51,3.85,-3.85,-3.81,5.66,5.66,5.65
58,9.38,3.73,9.39,3.75,-3.75,-3.74,5.63,5.64,5.65
59,9.25,3.60,9.27,3.64,-3.64,-3.66,5.60,5.63,5.65
60,9.14,3.53,9.15,3.54,-3.54,-3.58,5.60,5.62,5.61
61,9.03,3.41,9.04,3.43,-3.43,-3.50,5.59,5.60,5.62
62,8.93,3.35,8.93,3.33,-3.33,-3.42,5.60,5.59,5.58
63,8.82,3.23,8.81,3.23,-3.23,-3.34,5.58,5.58,5.59
64,8.71,3.16,8.71,3.14,-3.14,-3.25,5.57,5.57,5.55
65,8.60,3.03,8.60,3.04,-3.04,-3.15,5.55,5.56,5.57
66,8.50,2.96,8.50,2.95,-2.95,-3.06,5.54,5.55,5.54
67,8.40,2.84,8.41,2.87,-2.87,-2.96,5.53,5.54,5.56
68,8.33,2.80,8.31,2.78,-2.78,-2.86,5.55,5.53,5.53
69,8.22,2.67,8.22,2.70,-2.70,-2.76,5.52,5.52,5.55
70,8.13,2.61,8.13,2.62,-2.62,-2.67,5.51,5.51,5.52
71,8.05,2.55,8.04,2.54,-2.54,-2.57,5.51,5.50,5.49
72,7.94,2.44,7.95,2.47,-2.47,-2.47,5.47,5.49,5.50
73,7.86,2.39,7.87,2.39,-2.39,-2.37,5.46,5.47,5.47
74,7.78,2.31,7.78,2.32,-2.32,-2.27,5.46,5.46,5.47
75,7.72,2.26,7.70,2.25,-2.25,-2.18,5.47,5.45,5.46
