frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20,-2.90,-7.02,-2.87,-7.04,6.00,2.58,3.10,3.13,4.12
21,-2.69,-7.05,-2.64,-7.03,6.00,2.98,3.31,3.36,4.37
22,-2.43,-7.03,-2.43,-7.02,6.00,3.42,3.57,3.57,4.60
23,-2.20,-7.02,-2.22,-7.01,6.00,3.89,3.80,3.78,4.82
24,-1.99,-6.99,-2.02,-6.99,6.00,4.41,4.01,3.98,5.01
25,-1.79,-6.99,-1.83,-6.97,6.00,4.94,4.21,4.17,5.20
26,-1.61,-6.97,-1.65,-6.95,6.00,5.49,4.39,4.35,5.36
27,-1.46,-6.96,-1.47,-6.93,6.00,6.01,4.54,4.53,5.50
28,-1.30,-6.92,-1.31,-6.91,6.00,6.49,4.70,4.69,5.62
29,-1.16,-6.90,-1.16,-6.89,6.00,6.88,4.84,4.84,5.74
30,-1.02,-6.84,-1.02,-6.86,6.00,7.16,4.98,4.98,5.82
31,-0.90,-6.81,-0.89,-6.83,6.00,7.31,5.10,5.11,5.91
32,-0.78,-6.79,-0.77,-6.80,6.00,7.34,5.22,5.23,6.01
33,-0.66,-6.76,-0.66,-6.77,6.00,7.25,5.34,5.34,6.10
34,-0.55,-6.74,-0.55,-6.74,6.00,7.09,5.45,5.45,6.19
35,-0.45,-6.72,-0.46,-6.71,6.00,6.88,5.55,5.54,6.28
36,-0.37,-6.71,-0.37,-6.67,6.00,6.65,5.63,5.63,6.34
37,-0.28,-6.66,-0.28,-6.63,6.00,6.41,5.72,5.72,6.38
38,-0.19,-6.62,-0.20,-6.59,6.00,6.19,5.81,5.80,6.43
39,-0.12,-6.55,-0.12,-6.54,6.00,5.99,5.88,5.88,6.43
40,-0.05,-6.51,-0.05,-6.50,6.00,5.81,5.95,5.95,6.46
41,0.02,-6.48,0.02,-6.45,6.00,5.67,6.02,6.02,6.50
42,0.07,-6.43,0.09,-6.40,6.00,5.55,6.07,6.09,6.51
43,0.15,-6.35,0.15,-6.36,6.00,5.46,6.15,6.15,6.50
44,0.20,-6.26,0.21,-6.31,6.00,5.40,6.20,6.21,6.46
45,0.25,-6.23,0.26,-6.26,6.00,5.37,6.25,6.26,6.48
46,0.33,-6.17,0.31,-6.21,6.00,5.36,6.33,6.31,6.50
47,0.37,-6.17,0.36,-6.17,6.00,5.37,6.37,6.36,6.54
48,0.41,-6.15,0.41,-6.12,6.00,5.40,6.41,6.41,6.56
49,0.46,-6.11,0.45,-6.07,5.99,5.45,6.45,6.44,6.58
50,0.50,-6.08,0.50,-6.02,5.97,5.51,6.47,6.47,6.58
51,0.54,-6.00,0.53,-5.97,5.95,5.58,6.49,6.48,6.54
52,0.56,-5.95,0.57,-5.93,5.91,5.66,6.47,6.49,6.51
53,0.59,-5.92,0.61,-5.88,5.87,5.75,6.46,6.48,6.51
54,0.63,-5.83,0.64,-5.83,5.83,5.83,6.46,6.47,6.46
55,0.67,-5.75,0.67,-5.78,5.78,5.91,6.45,6.45,6.42
56,0.72,-5.70,0.70,-5.73,5.73,5.99,6.45,6.43,6.43
57,0.72,-5.68,0.73,-5.68,5.68,6.05,6.40,6.41,6.40
58,0.76,-5.63,0.76,-5.63,5.63,6.10,6.39,6.39,6.39
59,0.80,-5.58,0.78,-5.58,5.58,6.14,6.38,6.37,6.39
60,0.80,-5.54,0.81,-5.54,5.54,6.16,6.34,6.35,6.34
61,0.85,-5.49,0.84,-5.50,5.50,6.16,6.35,6.33,6.35
62,0.85,-5.46,0.86,-5.46,5.46,6.15,6.31,6.32,6.31
63,0.89,-5.43,0.89,-5.42,5.42,6.11,6.31,6.31,6.32
64,0.89,-5.40,0.91,-5.39,5.39,6.06,6.28,6.30,6.29
65,0.93,-5.33,0.93,-5.36,5.36,6.00,6.29,6.28,6.26
66,0.93,-5.35,0.95,-5.33,5.33,5.92,6.26,6.28,6.28
67,0.98,-5.29,0.97,-5.30,5.30,5.83,6.28,6.27,6.27
68,0.98,-5.28,0.98,-5.28,5.28,5.73,6.26,6.26,6.26
69,1.02,-5.21,1.00,-5.25,5.25,5.63,6.27,6.25,6.24
70,1.02,-5.23,1.02,-5.22,5.22,5.52,6.24,6.24,6.25
71,1.02,-5.24,1.04,-5.19,5.19,5.41,6.22,6.23,6.26
72,1.06,-5.18,1.05,-5.16,5.16,5.30,6.22,6.22,6.24
73,1.06,-5.19,1.07,-5.13,5.13,5.18,6.19,6.20,6.25
74,1.08,-5.14,1.09,-5.10,5.10,5.08,6.18,6.18,6.22
75,1.11,-5.08,1.10,-5.06,5.06,4.97,6.18,6.16,6.19
76,1.11,-5.05,1.11,-5.03,5.03,4.87,6.14,6.14,6.16
77,1.11,-5.02,1.12,-5.00,5.00,4.78,6.11,6.12,6.13
78,1.15,-4.95,1.14,-4.96,4.96,4.68,6.11,6.10,6.10
79,1.15,-4.93,1.15,-4.93,4.93,4.60,6.08,6.08,6.08
80,1.15,-4.86,1.16,-4.90,4.90,4.52,6.05,6.06,6.01
81,1.18,-4.81,1.17,-4.87,4.87,4.45,6.05,6.04,5.99
82,1.19,-4.83,1.18,-4.84,4.84,4.38,6.04,6.03,6.02
83,1.19,-4.81,1.20,-4.82,4.82,4.31,6.01,6.02,6.00
84,1.19,-4.85,1.21,-4.80,4.80,4.26,5.99,6.01,6.04
85,1.21,-4.82,1.22,-4.78,4.78,4.21,5.99,6.00,6.03
86,1.24,-4.77,1.23,-4.77,4.77,4.16,6.01,5.99,6.02
87,1.24,-4.76,1.23,-4.75,4.75,4.12,5.99,5.98,6.00
88,1.24,-4.74,1.24,-4.73,4.73,4.09,5.98,5.98,5.98
89,1.24,-4.73,1.25,-4.72,4.72,4.06,5.96,5.97,5.97
90,1.25,-4.70,1.26,-4.70,4.70,4.04,5.95,5.96,5.95
91,1.28,-4.68,1.27,-4.68,4.68,4.02,5.96,5.94,5.96
92,1.28,-4.67,1.28,-4.65,4.65,4.00,5.93,5.93,5.95
93,1.28,-4.65,1.28,-4.63,4.63,3.99,5.91,5.91,5.93
94,1.28,-4.63,1.29,-4.61,4.61,3.99,5.89,5.90,5.91
95,1.28,-4.62,1.29,-4.58,4.58,3.99,5.86,5.88,5.90
96,1.30,-4.59,1.30,-4.56,4.56,3.99,5.86,5.86,5.89
97,1.32,-4.49,1.30,-4.54,4.54,3.99,5.86,5.84,5.81
98,1.32,-4.48,1.31,-4.52,4.52,4.00,5.84,5.83,5.80
99,1.32,-4.47,1.32,-4.49,4.49,4.01,5.82,5.81,5.79
100,1.32,-4.47,1.32,-4.47,4.47,4.02,5.79,5.80,5.79
101,1.32,-4.47,1.33,-4.45,4.45,4.04,5.77,5.78,5.79
102,1.32,-4.44,1.34,-4.43,4.43,4.05,5.75,5.77,5.76
104,1.32,-4.47,1.34,-4.41,4.41,4.09,5.73,5.75,5.79
105,1.34,-4.43,1.35,-4.39,4.39,4.11,5.73,5.74,5.77
106,1.36,-4.38,1.35,-4.37,4.37,4.13,5.73,5.72,5.74
107,1.37,-4.35,1.35,-4.35,4.35,4.16,5.72,5.70,5.72
108,1.37,-4.32,1.36,-4.32,4.32,4.18,5.69,5.68,5.69
109,1.37,-4.29,1.36,-4.30,4.30,4.20,5.67,5.66,5.66
110,1.37,-4.27,1.37,-4.27,4.27,4.22,5.64,5.64,5.64
111,1.37,-4.24,1.37,-4.24,4.24,4.24,5.61,5.62,5.61
112,1.37,-4.22,1.38,-4.21,4.21,4.26,5.59,5.59,5.59
113,1.37,-4.19,1.38,-4.19,4.19,4.28,5.56,5.57,5.56
114,1.37,-4.16,1.39,-4.16,4.16,4.29,5.53,5.54,5.53
115,1.37,-4.14,1.39,-4.13,4.13,4.31,5.50,5.52,5.51
117,1.39,-4.13,1.39,-4.10,4.10,4.33,5.49,5.49,5.52
118,1.41,-4.06,1.40,-4.07,4.07,4.34,5.48,5.46,5.47
119,1.41,-4.02,1.40,-4.04,4.04,4.34,5.45,5.44,5.43
120,1.41,-3.99,1.40,-4.01,4.01,4.34,5.42,5.41,5.40
121,1.41,-3.96,1.41,-3.98,3.98,4.34,5.39,5.38,5.38
123,1.41,-3.98,1.41,-3.95,3.95,4.32,5.36,5.36,5.39
124,1.41,-3.95,1.41,-3.92,3.92,4.31,5.33,5.33,5.36
125,1.41,-3.88,1.41,-3.89,3.89,4.30,5.30,5.30,5.29
126,1.41,-3.86,1.41,-3.86,3.86,4.28,5.27,5.27,5.27
128,1.41,-3.82,1.41,-3.83,3.83,4.24,5.24,5.24,5.23
129,1.41,-3.80,1.41,-3.80,3.80,4.21,5.21,5.21,5.21
