frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20,-2.90,-12.35,-2.87,-12.41,6.00,2.50,3.10,3.13,9.45
21,-2.69,-12.34,-2.64,-12.32,6.00,2.89,3.31,3.36,9.66
22,-2.43,-12.27,-2.43,-12.23,6.00,3.31,3.57,3.57,9.84
23,-2.20,-12.21,-2.22,-12.14,6.00,3.78,3.80,3.78,10.01
24,-1.99,-12.10,-2.02,-12.05,6.00,4.28,4.01,3.98,10.12
25,-1.79,-12.00,-1.83,-11.96,6.00,4.81,4.21,4.17,10.21
26,-1.61,-11.88,-1.65,-11.86,6.00,5.34,4.39,4.35,10.27
27,-1.46,-11.77,-1.47,-11.77,6.00,5.85,4.54,4.53,10.31
28,-1.30,-11.63,-1.31,-11.67,6.00,6.31,4.70,4.69,10.33
29,-1.16,-11.55,-1.16,-11.58,6.00,6.70,4.84,4.84,10.39
30,-1.02,-11.46,-1.02,-11.48,6.00,6.97,4.98,4.98,10.44
31,-0.90,-11.38,-0.89,-11.38,6.00,7.13,5.10,5.11,10.48
32,-0.78,-11.30,-0.77,-11.28,6.00,7.16,5.22,5.23,10.52
33,-0.66,-11.18,-0.66,-11.19,6.00,7.10,5.34,5.34,10.52
34,-0.55,-11.11,-0.55,-11.09,6.00,6.97,5.45,5.45,10.56
35,-0.45,-10.99,-0.46,-10.99,6.00,6.79,5.55,5.54,10.55
36,-0.37,-10.89,-0.37,-10.88,6.00,6.59,5.63,5.63,10.52
37,-0.28,-10.79,-0.28,-10.78,6.00,6.39,5.72,5.72,10.51
38,-0.19,-10.68,-0.20,-10.67,6.00,6.20,5.81,5.80,10.49
39,-0.12,-10.57,-0.12,-10.55,6.00,6.04,5.88,5.88,10.45
40,-0.05,-10.47,-0.05,-10.43,6.00,5.90,5.95,5.95,10.42
41,0.02,-10.32,0.02,-10.30,6.00,5.79,6.02,6.02,10.34
42,0.07,-10.23,0.09,-10.17,6.00,5.72,6.07,6.09,10.31
43,0.15,-10.10,0.15,-10.04,6.00,5.67,6.15,6.15,10.25
44,0.20,-9.92,0.21,-9.91,6.00,5.65,6.20,6.21,10.12
45,0.25,-9.78,0.26,-9.77,6.00,5.66,6.25,6.26,10.03
46,0.33,-9.60,0.31,-9.64,6.00,5.69,6.33,6.31,9.93
47,0.37,-9.46,0.36,-9.51,6.00,5.75,6.37,6.36,9.83
48,0.41,-9.34,0.41,-9.39,6.00,5.82,6.41,6.41,9.75
49,0.46,-9.24,0.45,-9.27,6.00,5.92,6.46,6.45,9.71
50,0.50,-9.16,0.50,-9.15,6.00,6.02,6.50,6.50,9.66
51,0.54,-9.03,0.53,-9.03,6.00,6.14,6.54,6.53,9.57
52,0.56,-8.98,0.57,-8.92,6.00,6.26,6.56,6.57,9.54
53,0.59,-8.87,0.61,-8.81,6.00,6.39,6.59,6.61,9.46
54,0.63,-8.73,0.64,-8.69,6.00,6.52,6.63,6.64,9.36
55,0.67,-8.60,0.67,-8.58,6.00,6.64,6.67,6.67,9.27
56,0.72,-8.48,0.70,-8.47,6.00,6.75,6.72,6.70,9.21
57,0.72,-8.39,0.73,-8.36,6.00,6.85,6.72,6.73,9.11
58,0.76,-8.26,0.76,-8.25,6.00,6.93,6.76,6.76,9.02
59,0.80,-8.13,0.78,-8.14,6.00,6.99,6.80,6.78,8.94
60,0.80,-8.03,0.81,-8.03,6.00,7.03,6.80,6.81,8.83
61,0.85,-7.90,0.84,-7.93,6.00,7.04,6.85,6.84,8.76
62,0.85,-7.82,0.86,-7.82,6.00,7.03,6.85,6.86,8.67
63,0.89,-7.69,0.89,-7.73,6.00,6.99,6.89,6.89,8.58
64,0.89,-7.62,0.91,-7.63,6.00,6.94,6.89,6.91,8.51
65,0.93,-7.51,0.93,-7.54,6.00,6.86,6.93,6.93,8.44
66,0.93,-7.48,0.95,-7.45,6.00,6.77,6.93,6.95,8.41
67,0.98,-7.35,0.97,-7.36,6.00,6.66,6.98,6.97,8.33
68,0.98,-7.32,0.98,-7.27,6.00,6.54,6.98,6.98,8.30
69,1.02,-7.20,1.00,-7.19,6.00,6.41,7.02,7.00,8.23
70,1.02,-7.13,1.02,-7.11,6.00,6.27,7.02,7.02,8.15
71,1.02,-7.05,1.04,-7.02,6.00,6.13,7.02,7.04,8.07
72,1.06,-6.95,1.05,-6.94,6.00,5.99,7.06,7.05,8.01
73,1.06,-6.87,1.07,-6.85,6.00,5.86,7.06,7.07,7.93
74,1.08,-6.77,1.09,-6.77,6.00,5.72,7.08,7.09,7.85
