frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20,-0.12,-5.39,-0.08,-5.34,5.34,1.67,5.21,5.26,5.27
21,0.05,-5.28,0.16,-5.15,5.15,1.93,5.20,5.31,5.33
22,0.39,-4.99,0.38,-4.97,4.97,2.22,5.36,5.36,5.38
23,0.67,-4.75,0.59,-4.81,4.81,2.53,5.47,5.40,5.42
24,0.88,-4.58,0.80,-4.65,4.65,2.86,5.52,5.45,5.46
25,1.05,-4.45,0.99,-4.50,4.50,3.21,5.54,5.49,5.50
26,1.20,-4.34,1.17,-4.36,4.36,3.55,5.55,5.53,5.54
27,1.37,-4.21,1.35,-4.22,4.22,3.87,5.59,5.57,5.58
28,1.53,-4.08,1.51,-4.10,4.10,4.16,5.63,5.60,5.61
29,1.66,-3.98,1.66,-3.98,3.98,4.38,5.64,5.64,5.64
30,1.79,-3.88,1.80,-3.88,3.88,4.53,5.66,5.67,5.67
31,1.90,-3.80,1.92,-3.79,3.79,4.61,5.68,5.70,5.70
32,2.01,-3.72,2.02,-3.70,3.70,4.60,5.71,5.72,5.73
33,2.12,-3.64,2.12,-3.63,3.63,4.54,5.75,5.75,5.76
34,2.22,-3.56,2.22,-3.56,3.56,4.42,5.78,5.78,5.78
35,2.31,-3.50,2.31,-3.50,3.50,4.27,5.81,5.81,5.81
36,2.40,-3.44,2.39,-3.44,3.44,4.11,5.84,5.83,5.84
37,2.47,-3.38,2.47,-3.39,3.39,3.95,5.86,5.86,5.85
38,2.54,-3.34,2.54,-3.34,3.34,3.79,5.88,5.88,5.88
39,2.61,-3.30,2.61,-3.30,3.30,3.65,5.91,5.91,5.91
40,2.67,-3.26,2.67,-3.26,3.26,3.51,5.93,5.93,5.93
41,2.73,-3.22,2.73,-3.22,3.22,3.40,5.95,5.95,5.95
42,2.78,-3.20,2.78,-3.19,3.19,3.31,5.97,5.98,5.98
43,2.84,-3.16,2.84,-3.16,3.16,3.23,6.00,6.00,6.00
44,2.88,-3.14,2.89,-3.14,3.14,3.17,6.02,6.03,6.02
45,2.93,-3.11,2.93,-3.12,3.12,3.12,6.04,6.05,6.04
46,2.97,-3.10,2.97,-3.10,3.10,3.09,6.07,6.07,6.07
47,3.00,-3.09,3.01,-3.08,3.08,3.08,6.08,6.09,6.09
48,3.04,-3.07,3.04,-3.07,3.07,3.07,6.11,6.11,6.11
49,3.09,-3.05,3.08,-3.06,3.06,3.08,6.15,6.13,6.14
50,3.15,-3.04,3.10,-3.05,3.05,3.10,6.20,6.15,6.19
51,3.18,-3.04,3.12,-3.04,3.04,3.12,6.22,6.17,6.22
52,3.15,-3.04,3.14,-3.04,3.04,3.15,6.19,6.18,6.19
53,3.11,-3.04,3.16,-3.04,3.04,3.18,6.15,6.20,6.15
54,3.14,-3.04,3.18,-3.04,3.04,3.21,6.18,6.22,6.18
55,3.20,-3.03,3.19,-3.04,3.04,3.25,6.24,6.24,6.23
56,3.24,-3.05,3.21,-3.04,3.04,3.28,6.28,6.26,6.29
57,3.24,-3.06,3.23,-3.05,3.05,3.31,6.29,6.28,6.30
58,3.23,-3.05,3.24,-3.06,3.06,3.34,6.28,6.30,6.28
59,3.22,-3.06,3.26,-3.06,3.06,3.36,6.28,6.32,6.28
60,3.26,-3.07,3.27,-3.07,3.07,3.37,6.33,6.35,6.33
61,3.30,-3.08,3.29,-3.08,3.08,3.38,6.38,6.38,6.38
62,3.33,-3.09,3.31,-3.10,3.10,3.39,6.42,6.41,6.42
63,3.35,-3.10,3.33,-3.11,3.11,3.38,6.45,6.44,6.45
64,3.36,-3.12,3.34,-3.12,3.12,3.37,6.48,6.46,6.48
65,3.37,-3.14,3.35,-3.14,3.14,3.36,6.50,6.49,6.51
66,3.37,-3.15,3.37,-3.15,3.15,3.34,6.52,6.52,6.52
67,3.38,-3.16,3.38,-3.17,3.17,3.31,6.55,6.55,6.54
68,3.38,-3.19,3.40,-3.19,3.19,3.29,6.56,6.59,6.57
69,3.39,-3.20,3.41,-3.20,3.20,3.26,6.59,6.61,6.59
70,3.41,-3.21,3.41,-3.22,3.22,3.23,6.63,6.63,6.62
71,3.41,-3.25,3.41,-3.24,3.24,3.20,6.65,6.66,6.66
72,3.43,-3.26,3.41,-3.26,3.26,3.18,6.69,6.68,6.69
73,3.45,-3.29,3.41,-3.28,3.28,3.15,6.73,6.70,6.74
74,3.45,-3.30,3.41,-3.31,3.31,3.12,6.75,6.72,6.75
75,3.43,-3.32,3.41,-3.33,3.33,3.10,6.75,6.74,6.75
76,3.41,-3.35,3.41,-3.35,3.35,3.08,6.76,6.76,6.76
77,3.39,-3.36,3.41,-3.37,3.37,3.06,6.76,6.78,6.75
78,3.38,-3.39,3.41,-3.39,3.39,3.05,6.77,6.80,6.77
79,3.38,-3.41,3.41,-3.41,3.41,3.04,6.79,6.82,6.79
80,3.40,-3.44,3.41,-3.44,3.44,3.03,6.83,6.84,6.84
81,3.41,-3.46,3.40,-3.46,3.46,3.03,6.87,6.86,6.87
82,3.42,-3.47,3.40,-3.48,3.48,3.03,6.90,6.88,6.89
83,3.42,-3.50,3.40,-3.50,3.50,3.03,6.92,6.90,6.92
84,3.42,-3.52,3.40,-3.52,3.52,3.04,6.94,6.92,6.94
85,3.42,-3.55,3.40,-3.55,3.55,3.05,6.96,6.95,6.97
86,3.41,-3.56,3.41,-3.57,3.57,3.07,6.97,6.97,6.97
87,3.40,-3.58,3.41,-3.59,3.59,3.09,6.98,7.00,6.98
88,3.40,-3.61,3.41,-3.61,3.61,3.11,7.01,7.02,7.01
89,3.39,-3.63,3.41,-3.63,3.63,3.14,7.02,7.04,7.02
90,3.40,-3.64,3.41,-3.65,3.65,3.16,7.05,7.05,7.04
91,3.40,-3.67,3.40,-3.67,3.67,3.20,7.07,7.07,7.07
92,3.40,-3.69,3.40,-3.69,3.69,3.23,7.09,7.09,7.09
93,3.41,-3.70,3.39,-3.71,3.71,3.27,7.12,7.10,7.11
94,3.40,-3.73,3.39,-3.73,3.73,3.31,7.12,7.11,7.13
95,3.40,-3.74,3.38,-3.75,3.75,3.35,7.14,7.12,7.14
96,3.39,-3.77,3.37,-3.76,3.76,3.40,7.15,7.14,7.16
97,3.38,-3.78,3.36,-3.78,3.78,3.44,7.16,7.15,7.16
98,3.36,-3.79,3.35,-3.80,3.80,3.49,7.16,7.16,7.15
99,3.34,-3.82,3.35,-3.82,3.82,3.55,7.16,7.17,7.16
100,3.32,-3.83,3.34,-3.84,3.84,3.60,7.15,7.17,7.15
101,3.30,-3.85,3.33,-3.86,3.86,3.65,7.15,7.18,7.15
102,3.29,-3.86,3.31,-3.87,3.87,3.71,7.16,7.19,7.15
104,3.30,-3.90,3.30,-3.89,3.89,3.82,7.19,7.19,7.20
105,3.31,-3.90,3.29,-3.91,3.91,3.87,7.21,7.20,7.21
106,3.31,-3.93,3.28,-3.92,3.92,3.93,7.23,7.21,7.24
107,3.30,-3.94,3.28,-3.94,3.94,3.98,7.23,7.21,7.24
108,3.29,-3.95,3.27,-3.95,3.95,4.04,7.24,7.22,7.24
109,3.27,-3.97,3.26,-3.96,3.96,4.09,7.23,7.23,7.24
110,3.25,-3.98,3.26,-3.98,3.98,4.14,7.22,7.23,7.23
111,3.24,-3.98,3.25,-3.99,3.99,4.19,7.22,7.24,7.22
