frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20,-2.90,-18.82,-2.87,-18.91,6.00,2.52,3.10,3.13,15.92
21,-2.69,-18.62,-2.64,-18.55,6.00,2.91,3.31,3.36,15.94
22,-2.43,-18.30,-2.43,-18.20,6.00,3.34,3.57,3.57,15.87
23,-2.20,-17.95,-2.22,-17.86,6.00,3.81,3.80,3.78,15.75
24,-1.99,-17.56,-2.02,-17.53,6.00,4.31,4.01,3.98,15.58
25,-1.79,-17.18,-1.83,-17.20,6.00,4.83,4.21,4.17,15.39
26,-1.61,-16.83,-1.65,-16.88,6.00,5.37,4.39,4.35,15.22
27,-1.46,-16.53,-1.47,-16.57,6.00,5.88,4.54,4.53,15.07
28,-1.30,-16.22,-1.31,-16.26,6.00,6.35,4.70,4.69,14.92
29,-1.16,-15.92,-1.16,-15.96,6.00,6.73,4.84,4.84,14.76
30,-1.02,-15.65,-1.02,-15.67,6.00,7.01,4.98,4.98,14.63
31,-0.90,-15.39,-0.89,-15.40,6.00,7.17,5.10,5.11,14.49
32,-0.78,-15.14,-0.77,-15.13,6.00,7.21,5.22,5.23,14.36
33,-0.66,-14.86,-0.66,-14.86,6.00,7.15,5.34,5.34,14.20
34,-0.55,-14.63,-0.55,-14.61,6.00,7.01,5.45,5.45,14.08
35,-0.45,-14.38,-0.46,-14.35,6.00,6.84,5.55,5.54,13.94
36,-0.37,-14.16,-0.37,-14.10,6.00,6.64,5.63,5.63,13.79
37,-0.28,-13.92,-0.28,-13.85,6.00,6.44,5.72,5.72,13.64
38,-0.19,-13.65,-0.20,-13.60,6.00,6.26,5.81,5.80,13.46
39,-0.12,-13.37,-0.12,-13.34,6.00,6.10,5.88,5.88,13.25
40,-0.05,-13.11,-0.05,-13.08,6.00,5.97,5.95,5.95,13.06
41,0.02,-12.84,0.02,-12.83,6.00,5.87,6.02,6.02,12.86
42,0.07,-12.57,0.09,-12.57,6.00,5.80,6.07,6.09,12.65
43,0.15,-12.31,0.15,-12.32,6.00,5.76,6.15,6.15,12.46
44,0.20,-12.08,0.21,-12.08,6.00,5.74,6.20,6.21,12.28
45,0.25,-11.84,0.26,-11.84,6.00,5.76,6.25,6.26,12.09
46,0.33,-11.57,0.31,-11.61,6.00,5.80,6.33,6.31,11.90
47,0.37,-11.34,0.36,-11.39,6.00,5.86,6.37,6.36,11.71
48,0.41,-11.13,0.41,-11.17,6.00,5.94,6.41,6.41,11.54
49,0.46,-10.93,0.45,-10.97,6.00,6.04,6.46,6.45,11.40
50,0.50,-10.77,0.50,-10.77,6.00,6.15,6.50,6.50,11.27
51,0.54,-10.60,0.53,-10.57,6.00,6.27,6.54,6.53,11.14
52,0.56,-10.43,0.57,-10.38,6.00,6.40,6.56,6.57,10.99
53,0.59,-10.26,0.61,-10.19,6.00,6.54,6.59,6.61,10.85
54,0.63,-10.06,0.64,-10.00,6.00,6.67,6.63,6.64,10.69
55,0.67,-9.87,0.67,-9.82,6.00,6.79,6.67,6.67,10.54
56,0.72,-9.66,0.70,-9.63,6.00,6.90,6.72,6.70,10.38
57,0.72,-9.48,0.73,-9.45,6.00,7.00,6.72,6.73,10.20
58,0.76,-9.27,0.76,-9.27,6.00,7.08,6.76,6.76,10.03
59,0.80,-9.06,0.78,-9.09,6.00,7.14,6.80,6.78,9.86
60,0.80,-8.90,0.81,-8.91,6.00,7.17,6.80,6.81,9.70
61,0.85,-8.70,0.84,-8.73,6.00,7.18,6.85,6.84,9.56
62,0.85,-8.57,0.86,-8.56,6.00,7.16,6.85,6.86,9.42
63,0.89,-8.38,0.89,-8.39,6.00,7.11,6.89,6.89,9.27
64,0.89,-8.24,0.91,-8.23,6.00,7.04,6.89,6.91,9.13
65,0.93,-8.06,0.93,-8.07,6.00,6.95,6.93,6.93,8.99
66,0.93,-7.93,0.95,-7.92,6.00,6.84,6.93,6.95,8.86
67,0.98,-7.76,0.97,-7.77,6.00,6.71,6.98,6.97,8.74
68,0.98,-7.66,0.98,-7.63,6.00,6.57,6.98,6.98,8.64
69,1.02,-7.47,1.00,-7.49,6.00,6.42,7.02,7.00,8.50
70,1.02,-7.36,1.02,-7.36,6.00,6.26,7.02,7.02,8.38
